hc-key,id,numero,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20
AV,Aveiro,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC,Azores,4,0,0,,,,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3
BE,Beja,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BR,Braga,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Braganca,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,Castelo Branco,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Coimbra,180,0,0,,,,1,1,1,1,2,3,5,6,8,10,31,51,74,74,106
EV,Evora,5,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
FA,Faro,35,0,0,,,,0,0,1,2,2,3,5,6,7,10,13,14,21,25,29
GU,Guarda,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE,Leiria,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LI,Lisboa,534,0,0,,,,4,4,6,9,10,17,23,46,73,116,142,180,243,278,361
MA,Madeira,7,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PA,Portalegre,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PO,Porto,825,0,2,,,,8,15,22,27,27,36,44,53,77,103,138,196,289,381,506
SA,Santarem,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Setubal,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC,Viana do Castelo,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VR,Vila Real,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VI,Viseu,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0